adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,theaters,total_gross,year
"$128,225,100","$488,589,200",$200 million,12/2,Buena Vista,Animation,Toy Story 3,6/18,1,G,"June 18, 2010",1 hrs. 43 min.,BV,"4,028","$415,004,880",2010
"$133,771,700","$385,654,200",$200 million,7/8,Buena Vista,Family Adventure,Alice in Wonderland (2010),3/5,2,PG,"March 5, 2010",1 hrs. 49 min.,BV,"3,739","$334,191,110",2010
"$148,934,300","$363,361,500",$200 million,8/19,Paramount,Action / Adventure,Iron Man 2,5/7,3,PG-13,"May 7, 2010",2 hrs. 5 min.,Par.,"4,390","$312,433,331",2010
"$75,363,300","$357,043,600",$68 million,10/21,Summit Entertainment,Romance,The Twilight Saga: Eclipse,6/30,4,PG-13,"June 30, 2010",2 hrs. 4 min.,Sum.,"4,468","$300,531,751",2010
"$74,593,200","$347,374,900",$160 million,1/6,Warner Bros.,Sci-Fi Action,Inception,7/16,5,PG-13,"July 16, 2010",2 hrs. 28 min.,WB,"3,792","$292,576,195",2010
"$142,966,200","$338,821,000",,4/7,Warner Bros.,Fantasy,Harry Potter and the Deathly Hallows Part 1,11/19,6,PG-13,"November 19, 2010",2 hrs. 30 min.,WB,"4,125","$295,983,305",2010
"$67,003,600","$298,565,300",$69 million,1/20,Universal,Animation,Despicable Me,7/9,7,PG,"July 9, 2010",1 hrs. 35 min.,Uni.,"3,602","$251,513,985",2010
"$82,344,900","$277,831,600",$165 million,9/9,Paramount (DreamWorks),Animation,Shrek Forever After,5/21,8,PG,"May 21, 2010",1 hrs. 33 min.,P/DW,"4,386","$238,736,787",2010
"$50,388,400","$252,991,900",$165 million,7/22,Paramount (DreamWorks),Animation,How to Train Your Dragon,3/26,9,PG,"March 26, 2010",1 hrs. 38 min.,P/DW,"4,060","$217,581,231",2010
"$55,768,600","$230,528,200",$260 million,6/2,Buena Vista,Animation,Tangled,11/24,10,PG,"November 24, 2010",1 hrs. 40 min.,BV,"3,603","$200,821,936",2010
"$64,708,000","$206,720,900",$40 million,9/23,Sony / Columbia,Action Drama,The Karate Kid,6/11,11,PG,"June 11, 2010",2 hrs. 20 min.,Sony,"3,740","$176,591,618",2010
"$28,395,400","$198,174,800",$38 million,4/28,Paramount,Western,True Grit,12/22,12,PG-13,"December 22, 2010",1 hrs. 50 min.,Par.,"3,464","$171,243,005",2010
"$50,347,100","$198,061,000",$170 million,4/14,Buena Vista,Sci-Fi Action,Tron Legacy,12/17,13,PG,"December 17, 2010",2 hrs. 5 min.,BV,"3,451","$172,062,763",2010
"$47,086,300","$192,445,300",$80 million,10/28,Sony / Columbia,Comedy,Grown Ups,6/25,14,PG-13,"June 25, 2010",1 hrs. 42 min.,Sony,"3,534","$162,001,186",2010
"$71,181,900","$189,744,400",$125 million,7/22,Warner Bros.,Fantasy,Clash of the Titans (2010),4/2,15,PG-13,"April 2, 2010",1 hrs. 58 min.,WB,"3,802","$163,214,888",2010
"$35,260,500","$171,313,300",$100 million,3/17,Universal,Comedy,Little Fockers,12/22,16,PG-13,"December 22, 2010",1 hrs. 38 min.,Uni.,"3,675","$148,438,600",2010
"$52,623,500","$169,829,900",$130 million,2/24,Paramount (DreamWorks),Animation,Megamind,11/5,17,PG,"November 5, 2010",1 hrs. 36 min.,P/DW,"3,949","$148,415,853",2010
"$406,500","$157,525,600",$15 million,3/31,Weinstein Company,Historical Drama,The King's Speech,11/26,18,R,"November 26, 2010",1 hrs. 58 min.,Wein.,"2,584","$135,453,143Domestic Lifetime Gross: $138,797,449",2010
"$47,908,800","$156,554,200",$150 million,9/23,Paramount,Fantasy,The Last Airbender,7/1,19,PG,"July 1, 2010",1 hrs. 43 min.,Par.,"3,203","$131,772,187",2010
"$47,312,200","$147,605,000",$80 million,6/10,Paramount,Period Drama,Shutter Island,2/19,20,R,"February 19, 2010",2 hrs. 18 min.,Par.,"3,356","$128,012,934",2010
"$42,227,700","$141,554,100",$100 million,11/18,Sony / Columbia,Action Comedy,The Other Guys,8/6,21,PG-13,"August 6, 2010",1 hrs. 47 min.,Sony,"3,651","$119,219,978",2010
"$42,783,800","$140,515,800",$110 million,10/28,Sony / Columbia,Action Thriller,Salt,7/23,22,PG-13,"July 23, 2010",1 hrs. 39 min.,Sony,"3,612","$118,311,368",2010
"$57,582,900","$134,064,500",$20 million,1/20,Paramount,Comedy,Jackass 3-D,10/15,23,R,"October 15, 2010",1 hrs. 34 min.,Par.,"3,139","$117,229,692",2010
"$64,823,700","$127,308,800",$52 million,5/6,Warner Bros. (New Line),Romantic Comedy,Valentine's Day,2/12,24,PG-13,"February 12, 2010",1 hrs. 57 min.,WB (NL),"3,665","$110,485,654",2010
"$1,651,100","$123,786,600",$13 million,5/5,Fox Searchlight,Drama / Thriller,Black Swan,12/3,25,R,"December 3, 2010",1 hrs. 43 min.,FoxS,"2,407","$106,954,678",2010
"$41,921,400","$122,436,400",$200 million,8/5,Universal,Period Adventure,Robin Hood,5/14,26,PG-13,"May 14, 2010",2 hrs. 28 min.,Uni.,"3,505","$105,269,730",2010
"$41,374,600","$122,417,500",$80 million,10/21,Lionsgate,Action,The Expendables,8/13,27,R,"August 13, 2010",1 hrs. 43 min.,LGF,"3,398","$103,068,524",2010
"$27,451,500","$119,976,700",$155 million,4/14,Fox,Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader,12/10,28,PG,"December 10, 2010",1 hrs. 52 min.,Fox,"3,555","$104,386,950",2010
"$18,767,500","$115,654,100",$80 million,4/7,Warner Bros.,Family Comedy,Yogi Bear,12/17,29,PG,"December 17, 2010",1 hrs. 22 min.,WB,"3,515","$100,246,011",2010
"$37,382,600","$115,011,300",$65 million,1/27,Warner Bros.,Comedy,Due Date,11/5,30,R,"November 5, 2010",1 hrs. 35 min.,WB,"3,365","$100,539,043",2010
"$29,302,200","$114,787,600",$55 million,9/9,Fox,Comedy,Date Night,4/9,31,PG-13,"April 9, 2010",1 hrs. 28 min.,Fox,"3,380","$98,711,404",2010
"$25,668,200","$110,975,500",$40 million,3/3,Sony / Columbia,Comedy / Drama,The Social Network,10/1,32,PG-13,"October 1, 2010",2 hrs. 0 min.,Sony,"2,921","$96,962,694",2010
"$36,037,700","$110,925,200",$100 million,8/19,Warner Bros. (New Line),Romantic Comedy,Sex and the City 2,5/27,33,R,"May 27, 2010",2 hrs. 27 min.,WB (NL),"3,445","$95,347,692",2010
"$37,780,100","$109,277,800",$80 million,5/13,Warner Bros.,Action / Adventure,The Book of Eli,1/15,34,R,"January 15, 2010",1 hrs. 58 min.,WB,"3,111","$94,835,059",2010
"$343,100","$108,306,700",$25 million,3/31,Paramount,Sports Drama,The Fighter,12/10,35,R,"December 10, 2010",1 hrs. 54 min.,Par.,"2,534","$93,617,009",2010
"$28,285,500","$107,838,800",$37 million,1/6,Warner Bros.,Crime Drama,The Town,9/17,36,R,"September 17, 2010",2 hrs. 3 min.,WB,"2,935","$92,186,262",2010
"$34,983,800","$105,691,600",$200 million,9/23,Buena Vista,Adventure,Prince of Persia: The Sands of Time,5/28,37,PG-13,"May 28, 2010",1 hrs. 55 min.,BV,"3,646","$90,759,676",2010
"$24,885,700","$103,381,500",$58 million,2/3,Summit Entertainment,Action Comedy,Red,10/15,38,PG-13,"October 15, 2010",1 hrs. 51 min.,Sum.,"3,349","$90,380,162",2010
"$35,990,200","$102,313,500",$95 million,7/1,Fox,Fantasy,Percy Jackson & The Olympians: The Lightning Thief,2/12,39,PG,"February 12, 2010",2 hrs. 0 min.,Fox,"3,396","$88,768,303",2010
"$46,518,600","$96,924,200",$3 million,1/20,Paramount,Horror,Paranormal Activity 2,10/22,40,R,"October 22, 2010",1 hrs. 31 min.,Par.,"3,239","$84,752,907",2010
"$27,449,700","$95,674,700",$60 million,11/4,Sony / Columbia,Drama,Eat Pray Love,8/13,41,PG-13,"August 13, 2010",2 hrs. 13 min.,Sony,"3,108","$80,574,010",2010
"$25,945,900","$93,330,100",$100 million,3/10,Fox,Action Thriller,Unstoppable,11/12,42,PG-13,"November 12, 2010",1 hrs. 38 min.,Fox,"3,261","$81,562,942",2010
"$35,106,000","$92,200,300",$25 million,4/29,Sony / Screen Gems,Romance,Dear John,2/5,43,PG-13,"February 5, 2010",1 hrs. 48 min.,SGem,"3,062","$80,014,842",2010
"$23,411,500","$90,608,200",$117 million,10/7,Fox,Comedy,Knight & Day,6/23,44,PG-13,"June 23, 2010",2 hrs. 10 min.,Fox,"3,104","$76,423,035",2010
"$29,839,100","$90,288,100",$110 million,9/16,Fox,Action,The A-Team,6/11,45,PG-13,"June 11, 2010",1 hrs. 57 min.,Fox,"3,544","$77,222,099",2010
"$27,952,700","$86,743,200",$69 million,10/14,Paramount (DreamWorks),Comedy,Dinner for Schmucks,7/30,46,PG-13,"July 30, 2010",1 hrs. 50 min.,P/DW,"3,046","$73,026,337",2010
"$18,837,400","$77,769,300",$100 million,3/10,Sony / Columbia,Romantic Thriller,The Tourist,12/10,47,PG-13,"December 10, 2010",1 hrs. 43 min.,Sony,"2,756","$67,631,157",2010
"$23,834,900","$77,689,600",$40 million,7/8,Sony / Columbia,Action Comedy,The Bounty Hunter,3/19,48,PG-13,"March 19, 2010",1 hrs. 46 min.,Sony,"3,118","$67,061,228",2010
"$20,933,300","$75,011,700",$150 million,10/28,Buena Vista,Fantasy,The Sorcerer's Apprentice,7/14,49,PG,"July 14, 2010",1 hrs. 51 min.,BV,"3,504","$63,150,991",2010
"$25,493,800","$74,145,800",$15 million,8/19,Fox,Comedy,Diary of a Wimpy Kid,3/19,50,PG,"March 19, 2010",1 hrs. 34 min.,Fox,"3,083","$64,003,625",2010
"$38,246,800","$73,327,200",$35 million,7/15,Warner Bros. (New Line),Horror,A Nightmare on Elm Street (2010),4/30,51,R,"April 30, 2010",1 hrs. 30 min.,WB (NL),"3,332","$63,075,011",2010
"$18,443,800","$73,182,200",$20 million,7/15,Buena Vista,Drama,The Last Song,3/31,52,PG,"March 31, 2010",1 hrs. 47 min.,BV,"2,794","$62,950,384",2010
"$36,270,400","$71,413,100",$150 million,4/1,Universal,Horror,The Wolfman,2/12,53,R,"February 12, 2010",1 hrs. 42 min.,Uni.,"3,223","$61,979,680",2010
"$31,662,300","$71,156,500",$60 million,11/4,Sony / Screen Gems,Action Horror,Resident Evil: Afterlife,9/10,54,R,"September 10, 2010",1 hrs. 40 min.,SGem,"3,209","$60,128,566",2010
"$20,425,100","$71,122,400",$40 million,8/12,Universal,Comedy,Get Him to the Greek,6/4,55,R,"June 4, 2010",1 hrs. 49 min.,Uni.,"2,702","$60,974,475",2010
"$34,047,200","$69,857,600",$20 million,6/10,Lionsgate,Comedy / Drama,Tyler Perry's Why Did I Get Married Too?,4/2,56,PG-13,"April 2, 2010",2 hrs. 1 min.,LGF,"2,155","$60,095,852",2010
"$16,142,800","$69,178,000",$48 million,6/24,Fox,Fantasy Comedy,Tooth Fairy,1/22,57,PG,"January 22, 2010",1 hrs. 42 min.,Fox,"3,345","$60,022,256",2010
"$24,370,000","$68,499,300",$32 million,11/18,Sony / Screen Gems,Action / Crime,Takers,8/27,58,PG-13,"August 27, 2010",1 hrs. 47 min.,SGem,"2,206","$57,744,720",2010
"$21,069,200","$68,362,600",$8 million,12/23,Sony / Screen Gems,Romantic Comedy,Easy A,9/17,59,PG-13,"September 17, 2010",1 hrs. 32 min.,SGem,"2,974","$58,401,464",2010
"$14,517,400","$68,306,400",$35 million,2/10,Buena Vista,Sports Drama,Secretariat,10/8,60,PG,"October 8, 2010",1 hrs. 56 min.,BV,"3,108","$59,713,955",2010
"$19,142,400","$64,527,300",$80 million,1/20,Warner Bros.,Animation,Legend of the Guardians: The Owls of Ga'Hoole,9/24,61,PG,"September 24, 2010",1 hrs. 30 min.,WB,"3,575","$55,675,313",2010
"$29,417,600","$61,778,500",$40 million,10/14,Fox,Sci-Fi Horror,Predators,7/9,62,R,"July 9, 2010",1 hrs. 47 min.,Fox,"2,669","$52,000,688",2010
"$15,740,000","$61,746,900",$30 million,8/26,Summit Entertainment,Romance,Letters to Juliet,5/14,63,PG,"May 14, 2010",1 hrs. 45 min.,Sum.,"2,975","$53,032,453",2010
"$22,586,600","$61,155,400",$70 million,12/19,Fox,Drama,Wall Street: Money Never Sleeps,9/24,64,PG-13,"September 24, 2010",2 hrs. 7 min.,Fox,"3,597","$52,474,616",2010
"$16,589,200","$61,052,800",$38 million,1/27,Warner Bros.,Comedy,Life as We Know It,10/8,65,PG-13,"October 8, 2010",1 hrs. 52 min.,WB,"3,150","$53,374,681",2010
"$476,400","$59,382,700",,-,Warner Bros.,IMAX,Hubble 3D,3/19,66,G,"March 19, 2010",0 hrs. 43 min.,WB,151,"$52,184,528",2010
"$16,154,400","$58,456,100",$36 million,6/10,MGM,Comedy,Hot Tub Time Machine,3/26,67,R,"March 26, 2010",1 hrs. 40 min.,MGM,"2,771","$50,287,556",2010
"$23,049,600","$55,881,400",$30 million,7/1,Lionsgate,Action Comedy,Kick-Ass,4/16,68,R,"April 16, 2010",1 hrs. 57 min.,LGF,"3,065","$48,071,303",2010
"$18,409,800","$54,833,900",$75 million,8/19,Lionsgate,Action Comedy,Killers,6/4,69,PG-13,"June 4, 2010",1 hrs. 40 min.,LGF,"2,859","$47,059,963",2010
"$25,764,800","$52,272,800",$20 million,12/2,Lionsgate,Horror,Saw 3D,10/29,70,R,"October 29, 2010",1 hrs. 31 min.,LGF,"2,808","$45,710,178",2010
"$14,588,700","$51,770,700",$85 million,10/21,Warner Bros.,Family Comedy,Cats & Dogs: The Revenge of Kitty Galore,7/30,71,PG,"July 30, 2010",1 hrs. 22 min.,WB,"3,705","$43,585,753",2010
"$20,982,900","$51,724,100",$30 million,5/20,Warner Bros.,Comedy,Cop Out,2/26,72,R,"February 26, 2010",1 hrs. 50 min.,WB,"3,150","$44,875,481",2010
"$18,786,100","$50,365,300",$30 million,11/4,Buena Vista,Music Drama,Step Up 3-D,8/6,73,PG-13,"August 6, 2010",1 hrs. 37 min.,BV,"2,439","$42,400,223",2010
"$19,834,400","$49,906,300",$80 million,4/8,Warner Bros.,Drama / Thriller,Edge of Darkness,1/29,74,R,"January 29, 2010",1 hrs. 48 min.,WB,"3,066","$43,313,890",2010
"$18,851,900","$49,689,100",$21 million,7/8,Sony / Screen Gems,Comedy,Death at a Funeral (2010),4/16,75,R,"April 16, 2010",1 hrs. 30 min.,SGem,"2,459","$42,739,347",2010
"$7,213,300","$49,457,500",$112 million,4/14,Fox,Adventure Comedy,Gulliver's Travels,12/25,76,PG,"December 25, 2010",1 hrs. 25 min.,Fox,"3,089","$42,779,261",2010
"$24,196,900","$48,744,100",$1.8 million,10/7,Lionsgate,Horror,The Last Exorcism,8/27,77,PG-13,"August 27, 2010",1 hrs. 40 min.,LGF,"2,874","$41,034,350",2010
