adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,theaters,total_gross,year
"$202,004,000","$696,331,800",N/A,-,Buena Vista,Action / Adventure,Black Panther,2/16,1,PG-13,"February 16, 2018",2 hrs. 20 min.,BV,"4,084","$696,331,818",2018
"$257,698,200","$548,090,100",N/A,-,Buena Vista,Action / Adventure,Avengers: Infinity War,4/27,2,PG-13,"April 27, 2018",2 hrs. 36 min.,BV,"4,474","$548,090,150",2018
"$50,203,600","$169,608,000",$17 million,-,Paramount,Horror Thriller,A Quiet Place,4/6,3,PG-13,"April 6, 2018",1 hrs. 35 min.,Par.,"3,808","$169,608,030",2018
"$41,764,000","$134,563,600",N/A,-,Warner Bros.,Sci-Fi Action,Ready Player One,3/29,4,PG-13,"March 29, 2018",2 hrs. 20 min.,WB,"4,234","$134,563,601",2018
"$25,010,900","$114,930,100",$50 million,-,Sony / Columbia,Family,Peter Rabbit,2/9,5,PG,"February 9, 2018",1 hrs. 33 min.,Sony,"3,725","$114,930,111",2018
"$38,560,200","$100,407,800",$55 million,4/5,Universal,Romance,Fifty Shades Freed,2/9,6,R,"February 9, 2018",1 hrs. 45 min.,Uni.,"3,768","$100,407,760",2018
"$33,123,600","$96,812,700",N/A,-,Buena Vista,Fantasy,A Wrinkle in Time,3/9,7,PG,"March 9, 2018",1 hrs. 55 min.,BV,"3,980","$96,812,656",2018
"$35,753,100","$89,827,100",$120 million,-,Warner Bros. (New Line),Action / Adventure,Rampage (2018),4/13,8,PG-13,"April 13, 2018",1 hrs. 47 min.,WB (NL),"4,115","$89,827,105",2018
"$17,108,900","$82,503,600",$7 million,-,Roadside Attractions,Family,I Can Only Imagine,3/16,9,PG,"March 16, 2018",1 hrs. 50 min.,RAtt.,"2,894","$82,503,608",2018
"$17,005,300","$68,748,300",$37 million,-,Warner Bros. (New Line),Action Comedy,Game Night,2/23,10,R,"February 23, 2018",1 hrs. 40 min.,WB (NL),"3,502","$68,748,295",2018
"$29,581,400","$67,347,900",$10 million,3/1,Universal,Horror,Insidious: The Last Key,1/5,11,PG-13,"January 5, 2018",1 hrs. 43 min.,Uni.,"3,150","$67,347,895",2018
"$28,116,500","$59,163,200",$150 million,-,Universal,Sci-Fi Action,Pacific Rim Uprising,3/23,12,PG-13,"March 23, 2018",1 hrs. 51 min.,Uni.,"3,708","$59,163,230",2018
"$20,556,300","$58,126,700",$21 million,-,Universal,Comedy,Blockers,4/6,13,R,"April 6, 2018",1 hrs. 42 min.,Uni.,"3,418","$58,126,660",2018
"$24,167,000","$58,032,400",$62 million,5/3,Fox,Sci-Fi Adventure,Maze Runner: The Death Cure,1/26,14,PG-13,"January 26, 2018",2 hrs. 22 min.,Fox,"3,793","$58,032,443",2018
"$23,633,300","$57,228,500",$94 million,-,Warner Bros.,Action / Adventure,Tomb Raider,3/16,15,PG-13,"March 16, 2018",1 hrs. 58 min.,WB,"3,854","$57,228,498",2018
"$16,853,400","$46,781,500",$69 million,-,Fox,Thriller,Red Sparrow,3/2,16,R,"March 2, 2018",2 hrs. 19 min.,Fox,"3,064","$46,781,469",2018
"$15,815,000","$45,500,100",N/A,3/29,Warner Bros.,War Drama,12 Strong,1/19,17,R,"January 19, 2018",2 hrs. 9 min.,WB,"3,018","$45,500,164",2018
"$15,206,100","$44,947,600",N/A,3/22,STX Entertainment,Action Thriller,Den of Thieves,1/19,18,R,"January 19, 2018",2 hrs. 20 min.,STX,"2,432","$44,947,622",2018
"$16,030,200","$43,952,000",$32 million,-,STX Entertainment,Comedy,I Feel Pretty,4/20,19,PG-13,"April 20, 2018",1 hrs. 50 min.,STX,"3,440","$43,952,013",2018
"$17,170,700","$43,241,900",N/A,-,Lionsgate,Thriller,Tyler Perry's Acrimony,3/30,20,R,"March 30, 2018",2 hrs. 0 min.,LGF,"2,006","$43,241,894",2018
"$10,604,800","$41,760,200",$59 million,-,Paramount,Animation,Sherlock Gnomes,3/23,21,PG,"March 23, 2018",1 hrs. 26 min.,Par.,"3,662","$41,760,161",2018
"$11,756,200","$40,697,100",$17 million,-,Fox,Action / Adventure,"Love, Simon",3/16,22,PG-13,"March 16, 2018",1 hrs. 49 min.,Fox,"2,434","$40,697,137",2018
"$11,002,000","$40,442,100",N/A,3/15,Warner Bros.,Family Adventure,Paddington 2,1/12,23,PG,"January 12, 2018",1 hrs. 43 min.,WB,"3,702","$40,442,052",2018
"$18,667,900","$39,727,000",$3.5 million,-,Universal,Thriller,Truth or Dare,4/13,24,PG-13,"April 13, 2018",1 hrs. 40 min.,Uni.,"3,068","$39,727,000",2018
"$13,701,500","$36,343,900",N/A,3/15,Lionsgate,Action,The Commuter,1/12,25,PG-13,"January 12, 2018",1 hrs. 45 min.,LGF,"2,892","$36,343,858",2018
"$12,554,300","$36,251,000",$30 million,4/12,Warner Bros.,Drama,The 15:17 to Paris,2/9,26,PG-13,"February 9, 2018",1 hrs. 34 min.,WB,"3,042","$36,250,957",2018
"$13,010,300","$33,977,500",$30 million,-,MGM,Action / Crime,Death Wish (2018),3/2,27,R,"March 2, 2018",1 hrs. 47 min.,MGM,"2,882","$33,977,533",2018
"$11,071,600","$32,732,300",$40 million,4/19,Paramount,Sci-Fi,Annihilation,2/23,28,R,"February 23, 2018",1 hrs. 55 min.,Par.,"2,112","$32,732,301",2018
"$1,620,300","$29,951,900",N/A,-,Fox Searchlight,Animation,Isle Of Dogs,3/23,29,PG-13,"March 23, 2018",1 hrs. 41 min.,FoxS,"1,947","$29,951,941",2018
"$14,711,100","$29,358,400",N/A,-,Pantelion,Romantic Comedy,Overboard (2018),5/4,30,PG-13,"May 4, 2018",1 hrs. 52 min.,PNT,"2,006","$29,358,392",2018
"$15,181,600","$27,383,200",$13.5 million,-,Fox,Comedy,Super Troopers 2,4/20,31,R,"April 20, 2018",1 hrs. 40 min.,Fox,"2,125","$27,383,171",2018
"$9,307,600","$25,091,800",N/A,3/29,Lionsgate,Horror,Winchester,2/2,32,PG-13,"February 2, 2018",1 hrs. 39 min.,LGF,"2,480","$25,091,816",2018
"$10,402,300","$24,419,800",N/A,-,Aviron,Horror,Strangers: Prey at Night,3/9,33,R,"March 9, 2018",1 hrs. 25 min.,Aviron,"2,464","$24,419,775",2018
"$9,959,100","$20,877,000",$14 million,3/8,Sony / Screen Gems,Drama,Proud Mary,1/12,34,R,"January 12, 2018",1 hrs. 28 min.,SGem,"2,125","$20,877,013",2018
"$17,886,100","$17,886,100",N/A,-,Warner Bros. (New Line),Comedy,Life of the Party,5/11,35,PG-13,"May 11, 2018",1 hrs. 45 min.,WB (NL),"3,656","$17,886,075",2018
"$17,630,300","$17,630,300",$6 million,-,Universal,Thriller,Breaking In (2018),5/11,36,PG-13,"May 11, 2018",1 hrs. 28 min.,Uni.,"2,537","$17,630,285",2018
"$5,172,600","$17,499,900",$5 million,-,Sony / Columbia,Drama,"Paul, Apostle of Christ",3/23,37,PG-13,"March 23, 2018",1 hrs. 47 min.,Sony,"1,473","$17,499,876",2018
"$5,765,900","$16,968,100",N/A,-,Entertainment Studios,Thriller,Chappaquiddick,4/6,38,PG-13,"April 6, 2018",1 hrs. 41 min.,ENTMP,"1,645","$16,968,137",2018
"$4,245,600","$16,376,000",$3.5 million,5/10,Roadside Attractions,Romance,Forever My Girl,1/19,39,PG,"January 19, 2018",1 hrs. 44 min.,RAtt.,"1,427","$16,376,066",2018
"$4,493,400","$11,846,100",N/A,2/25,Viva Pictures Distribution,Drama,Padmaavat,1/25,40,Unrated,"January 25, 2018",2 hrs. 44 min.,VPD,354,"$11,846,060",2018
"$3,950,700","$9,927,800",N/A,-,Mirror/LD,Drama,The Miracle Season,4/6,41,PG,"April 6, 2018",1 hrs. 39 min.,Mirr/LD,"1,707","$9,927,843",2018
"$4,004,000","$9,561,100",N/A,-,Global Road,Romance,Midnight Sun,3/23,42,PG-13,"March 23, 2018",1 hrs. 31 min.,Global Road,"2,173","$9,561,064",2018
"$3,941,300","$8,910,800",N/A,-,Lionsgate,Thriller,Traffik,4/20,43,R,"April 20, 2018",1 hrs. 36 min.,LGF,"1,046","$8,910,787",2018
"$3,190,500","$8,267,500",N/A,3/29,Lionsgate,Animation,Early Man,2/16,44,PG,"February 16, 2018",1 hrs. 29 min.,LGF,"2,494","$8,267,544",2018
"$3,762,100","$7,732,900",N/A,4/12,Bleecker Street,Thriller,Unsane,3/23,45,R,"March 23, 2018",1 hrs. 38 min.,BST,"2,023","$7,732,899",2018
"$184,800","$7,695,300",N/A,-,IFC,Comedy / Drama,The Death of Stalin,3/9,46,R,"March 9, 2018",1 hrs. 46 min.,IFC,548,"$7,695,306",2018
"$3,282,600","$6,992,000",N/A,-,Focus Features,Comedy,Tully (2018),5/4,47,R,"May 4, 2018",1 hrs. 36 min.,Focus,"1,356","$6,992,005",2018
"$3,024,400","$6,115,800",$35 million,-,Entertainment Studios,Action Thriller,The Hurricane Heist,3/9,48,PG-13,"March 9, 2018",1 hrs. 43 min.,ENTMP,"2,402","$6,115,825",2018
"$3,016,100","$6,102,100",$4.9 million,3/22,Orion Pictures,Drama,Every Day (2018),2/23,49,PG-13,"February 23, 2018",1 hrs. 35 min.,Orion,"1,669","$6,102,076",2018
"$2,689,700","$5,673,900",N/A,-,Pure Flix,Drama,God's Not Dead: A Light in Darkness,3/30,50,PG,"March 30, 2018",1 hrs. 46 min.,PFR,"1,693","$5,673,883",2018
"$2,722,400","$4,969,800",N/A,4/5,STX Entertainment,Comedy,Gringo,3/9,51,R,"March 9, 2018",1 hrs. 50 min.,STX,"2,404","$4,969,853",2018
"$1,734,500","$4,901,800",N/A,-,Bleecker Street,War Drama,Beirut,4/11,52,R,"April 11, 2018",1 hrs. 49 min.,BST,755,"$4,901,769",2018
"$1,942,600","$4,719,900",N/A,4/12,Pure Flix,Drama,Samson,2/16,53,PG-13,"February 16, 2018",1 hrs. 50 min.,PFR,"1,249","$4,719,928",2018
"$695,000","$3,508,800",N/A,3/22,Shorts International,Drama,The Oscar Nominated Short Films 2018,2/9,54,Unrated,"February 9, 2018",N/A,Shrts.,272,"$3,508,777",2018
"$1,592,600","$3,207,100",N/A,4/29,Focus Features,Action Thriller,7 Days in Entebbe,3/16,55,PG-13,"March 16, 2018",1 hrs. 47 min.,Focus,838,"$3,207,137",2018
"$1,726,900","$3,088,500",N/A,-,Electric Entertainment,Horror Thriller,Bad Samaritan,5/4,56,R,"May 4, 2018",1 hrs. 48 min.,Electric,"2,007","$3,088,522",2018
"$1,164,400","$2,933,100",N/A,-,Fun Academy,Animation,Sgt. Stubby: An American Hero,4/13,57,PG,"April 13, 2018",1 hrs. 30 min.,FunAcad,"1,633","$2,933,071 (Estimate)",2018
"$1,224,400","$2,830,800",N/A,3/29,Focus Features,Drama / Thriller,Thoroughbreds,3/9,58,R,"March 9, 2018",1 hrs. 32 min.,Focus,564,"$2,830,775",2018
"$1,147,100","$2,783,700",N/A,3/15,Pantelion,Romantic Comedy,La Boda de Valentina,2/9,59,R,"February 9, 2018",1 hrs. 47 min.,PNT,331,"$2,783,739",2018
