adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,theaters,total_gross,year
"$234,007,200","$704,231,900",$220 million,10/4,Buena Vista,Action / Adventure,Marvel's The Avengers,5/4,1,PG-13,"May 4, 2012",2 hrs. 22 min.,BV,"4,349","$623,357,910",2012
"$189,425,100","$527,449,300",$250 million,12/13,Warner Bros.,Action Thriller,The Dark Knight Rises,7/20,2,PG-13,"July 20, 2012",2 hrs. 45 min.,WB,"4,404","$448,139,099",2012
"$176,417,600","$465,907,500",$78 million,9/6,Lionsgate,Action / Adventure,The Hunger Games,3/23,3,PG-13,"March 23, 2012",2 hrs. 22 min.,LGF,"4,137","$408,010,692",2012
"$100,549,200","$346,632,700",$200 million,3/10,Sony / Columbia,Action,Skyfall,11/9,4,PG-13,"November 9, 2012",2 hrs. 23 min.,Sony,"3,526","$304,360,277",2012
"$96,285,000","$346,556,800",,4/25,Warner Bros. (New Line),Fantasy,The Hobbit: An Unexpected Journey,12/14,5,PG-13,"December 14, 2012",2 hrs. 46 min.,WB (NL),"4,100","$303,003,568",2012
"$160,519,200","$332,769,100",$120 million,3/7,Lionsgate/Summit,Romance,The Twilight Saga: Breaking Dawn Part 2,11/16,6,PG-13,"November 16, 2012",1 hrs. 56 min.,LG/S,"4,070","$292,324,737",2012
"$73,002,900","$308,489,900",$230 million,10/14,Sony / Columbia,Action / Adventure,The Amazing Spider-Man,7/3,7,PG-13,"July 3, 2012",2 hrs. 16 min.,Sony,"4,318","$262,030,663",2012
"$74,818,200","$274,410,300",$185 million,1/17,Buena Vista,Animation,Brave,6/22,8,PG,"June 22, 2012",1 hrs. 40 min.,BV,"4,164","$237,283,207",2012
"$61,384,600","$257,594,100",$50 million,10/25,Universal,Comedy,Ted,6/29,9,R,"June 29, 2012",1 hrs. 46 min.,Uni.,"3,303","$218,815,487",2012
"$81,210,700","$246,662,600",$70 million,7/26,Universal,Animation,Dr. Seuss' The Lorax,3/2,10,PG,"March 2, 2012",1 hrs. 35 min.,Uni.,"3,769","$214,030,500",2012
"$68,042,000","$246,465,100",$145 million,10/18,Paramount (DreamWorks),Animation,Madagascar 3: Europe's Most Wanted,6/8,11,PG,"June 8, 2012",1 hrs. 33 min.,P/DW,"4,263","$216,391,482",2012
"$55,800,600","$215,756,800",$165 million,5/2,Buena Vista,Animation,Wreck-It Ralph,11/2,12,PG,"November 2, 2012",1 hrs. 48 min.,BV,"3,752","$189,422,889",2012
