adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,theaters,total_gross,year
"$699,100","$394,612,800",$58.8 million,6/25,Warner Bros.,Drama,American Sniper,12/25,1,R,"December 25, 2014",2 hrs. 12 min.,WB,"3,885","$350,126,372",2014
"$106,928,100","$377,186,500",$170 million,1/22,Buena Vista,Action / Adventure,Guardians of the Galaxy,8/1,2,PG-13,"August 1, 2014",2 hrs. 1 min.,BV,"4,088","$333,176,600",2014
"$134,528,000","$373,058,400",$125 million,3/19,Lionsgate,Action / Adventure,The Hunger Games: Mockingjay - Part 1,11/21,3,PG-13,"November 21, 2014",2 hrs. 3 min.,LGF,"4,151","$337,135,885",2014
"$79,459,900","$296,007,800",$60 million,9/4,Warner Bros.,Animation,The LEGO Movie,2/7,4,PG,"February 7, 2014",1 hrs. 40 min.,WB,"3,890","$257,760,692",2014
"$104,491,900","$285,749,900",$170 million,8/21,Buena Vista,Action / Adventure,Captain America: The Winter Soldier,4/4,5,PG-13,"April 4, 2014",2 hrs. 16 min.,BV,"3,938","$259,766,572",2014
"$60,394,600","$284,682,800",,4/2,Warner Bros. (New Line),Fantasy,The Hobbit: The Battle of the Five Armies,12/17,6,PG-13,"December 17, 2014",2 hrs. 24 min.,WB (NL),"3,875","$255,119,788",2014
"$110,006,200","$278,240,800",$210 million,10/9,Paramount,Sci-Fi Action,Transformers: Age of Extinction,6/27,7,PG-13,"June 27, 2014",2 hrs. 45 min.,Par.,"4,233","$245,439,076",2014
"$76,349,400","$267,052,100",$180 million,12/4,Buena Vista,Fantasy,Maleficent,5/30,8,PG,"May 30, 2014",1 hrs. 37 min.,BV,"3,948","$241,410,378",2014
"$99,873,300","$257,698,300",$200 million,10/9,Fox,Action / Adventure,X-Men: Days of Future Past,5/23,9,PG-13,"May 23, 2014",2 hrs. 11 min.,Fox,"4,001","$233,921,534",2014
"$62,040,700","$246,224,800",$165 million,5/28,Buena Vista,Animation,Big Hero 6,11/7,10,PG,"November 7, 2014",1 hrs. 48 min.,BV,"3,773","$222,527,828",2014
"$82,316,900","$236,385,100",$170 million,12/4,Fox,Sci-Fi Action,Dawn of the Planet of the Apes,7/11,11,PG-13,"July 11, 2014",2 hrs. 10 min.,Fox,"3,969","$208,545,589",2014
"$100,736,200","$223,168,000",,8/17,Sony / Columbia,Action / Adventure,The Amazing Spider-Man 2,5/2,12,PG-13,"May 2, 2014",2 hrs. 22 min.,Sony,"4,324","$202,853,933",2014
"$102,473,700","$220,827,600",$160 million,8/28,Warner Bros.,Sci-Fi Action,Godzilla (2014),5/16,13,PG-13,"May 16, 2014",2 hrs. 3 min.,WB,"3,952","$200,676,069",2014
"$74,340,100","$216,597,400",$125 million,11/20,Paramount,Action / Adventure,Teenage Mutant Ninja Turtles (2014),8/8,14,PG-13,"August 8, 2014",1 hrs. 41 min.,Par.,"3,980","$191,204,754",2014
"$62,758,000","$213,090,000",$50 million,11/26,Sony / Columbia,Action Comedy,22 Jump Street,6/13,15,R,"June 13, 2014",1 hrs. 52 min.,Sony,"3,426","$191,719,337",2014
"$52,433,100","$207,835,200",$165 million,3/19,Paramount,Sci-Fi Adventure,Interstellar,11/5,16,PG-13,"November 5, 2014",2 hrs. 49 min.,Par.,"3,561","$188,020,017",2014
"$54,378,600","$196,922,400",$145 million,12/11,Fox,Animation,How to Train Your Dragon 2,6/13,17,PG,"June 13, 2014",1 hrs. 45 min.,Fox,"4,268","$177,002,924",2014
"$41,400,000","$185,205,400",$61 million,2/26,Fox,Thriller,Gone Girl,10/3,18,R,"October 3, 2014",2 hrs. 25 min.,Fox,"3,284","$167,767,189",2014
"$62,840,100","$169,523,300",$85 million,7/10,Lionsgate/Summit,Action / Adventure,Divergent,3/21,19,PG-13,"March 21, 2014",2 hrs. 23 min.,LG/S,"3,936","$150,947,895",2014
"$53,919,600","$165,245,000",$18 million,8/21,Universal,Comedy,Neighbors,5/9,20,R,"May 9, 2014",1 hrs. 36 min.,Uni.,"3,311","$150,157,400",2014
"$47,774,900","$155,199,000",$25 million,4/17,Universal,Comedy,Ride Along,1/17,21,PG-13,"January 17, 2014",1 hrs. 40 min.,Uni.,"2,867","$134,938,200",2014
"$43,246,500","$144,775,400",$103 million,9/4,Fox,Animation,Rio 2,4/11,22,G,"April 11, 2014",1 hrs. 41 min.,Fox,"3,975","$131,538,435",2014
"$34,269,400","$144,015,100",$50 million,4/16,Buena Vista,Musical,Into the Woods,12/25,23,PG,"December 25, 2014",2 hrs. 4 min.,BV,"2,833","$128,002,372",2014
